ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim
ETH-USD,1h,OCO,2024-03-15 18:00:00,2024-03-17 03:00:00,33,60,2024-03-16 01:00:00,3754.37,6309,6342
ETH-USD,1h,OCO,2024-02-20 14:00:00,2024-02-22 00:00:00,34,60,2024-02-21 00:00:00,3009.98,5729,5763
ETH-USD,1wk,OCO,2024-04-22 00:00:00,2024-07-22 00:00:00,13,10080,2024-05-27 00:00:00,3803.40,336,349
ETH-USD,1wk,OCO,2021-09-06 00:00:00,2022-02-07 00:00:00,22,10080,2021-11-08 00:00:00,4623.46,199,221
ETH-USD,4h,OCO,2025-06-14 00:00:00,2025-06-20 08:00:00,38,240,2025-06-16 16:00:00,2642.76,4309,4347
ETH-USD,4h,OCO,2025-04-12 16:00:00,2025-04-19 20:00:00,43,240,2025-04-14 08:00:00,1654.75,3935,3978
ETH-USD,4h,OCOI,2025-01-16 20:00:00,2025-01-20 00:00:00,19,240,2025-01-19 08:00:00,3208.64,3420,3439
ETH-USD,4h,OCOI,2024-11-13 20:00:00,2024-11-17 20:00:00,24,240,2024-11-15 16:00:00,3032.00,3036,3060
ETH-USD,4h,OCOI,2023-11-15 00:00:00,2023-11-22 00:00:00,42,240,2023-11-17 16:00:00,1927.69,847,889
LINK-USD,1d,OCO,2025-03-20 00:00:00,2025-04-01 00:00:00,12,1440,2025-03-27 00:00:00,15.38,2687,2699
LINK-USD,1d,OCO,2024-12-08 00:00:00,2024-12-24 00:00:00,16,1440,2024-12-15 00:00:00,29.17,2585,2601
LINK-USD,1d,OCO,2024-07-16 00:00:00,2024-07-27 00:00:00,11,1440,2024-07-21 00:00:00,14.54,2440,2451
LINK-USD,1d,OCO,2023-01-23 00:00:00,2023-02-04 00:00:00,12,1440,2023-01-29 00:00:00,7.30,1900,1912
LINK-USD,1d,OCOI,2022-10-15 00:00:00,2022-11-02 00:00:00,18,1440,2022-10-20 00:00:00,6.72,1800,1818
LINK-USD,1d,OCO,2022-09-05 00:00:00,2022-09-17 00:00:00,12,1440,2022-09-11 00:00:00,7.96,1760,1772
LINK-USD,1d,OCO,2022-01-31 00:00:00,2022-02-16 00:00:00,16,1440,2022-02-08 00:00:00,18.65,1543,1559
LINK-USD,1d,OCOI,2021-06-22 00:00:00,2021-07-02 00:00:00,10,1440,2021-06-26 00:00:00,16.94,1320,1330
LINK-USD,1d,OCO,2020-08-10 00:00:00,2020-08-23 00:00:00,13,1440,2020-08-16 00:00:00,18.95,1004,1017
LINK-USD,1h,OCOI,2025-06-01 10:00:00,2025-06-03 09:00:00,47,60,2025-06-02 14:00:00,13.69,16933,16980
LINK-USD,1h,OCOI,2025-04-23 16:00:00,2025-04-25 02:00:00,34,60,2025-04-24 08:00:00,14.27,16003,16037
LINK-USD,1h,OCO,2025-01-27 15:00:00,2025-01-29 07:00:00,40,60,2025-01-28 05:00:00,24.46,13938,13978
LINK-USD,1h,OCOI,2025-01-25 01:00:00,2025-01-26 00:00:00,23,60,2025-01-25 09:00:00,24.86,13876,13899
LINK-USD,1h,OCOI,2025-01-20 18:00:00,2025-01-21 21:00:00,27,60,2025-01-21 05:00:00,23.98,13773,13800
LINK-USD,1h,OCO,2025-01-19 02:00:00,2025-01-20 08:00:00,30,60,2025-01-19 18:00:00,26.47,13733,13763
LINK-USD,1h,OCO,2024-12-23 04:00:00,2024-12-23 17:00:00,13,60,2024-12-23 11:00:00,23.13,13088,13101
LINK-USD,1h,OCOI,2024-12-15 13:00:00,2024-12-16 04:00:00,15,60,2024-12-15 22:00:00,28.46,12905,12920
LINK-USD,1h,OCOI,2024-12-12 13:00:00,2024-12-13 01:00:00,12,60,2024-12-12 19:00:00,27.45,12833,12845
LINK-USD,1h,OCO,2024-12-07 14:00:00,2024-12-09 05:00:00,39,60,2024-12-08 13:00:00,27.00,12714,12753
LINK-USD,1h,OCO,2024-12-06 23:00:00,2024-12-07 14:00:00,15,60,2024-12-07 04:00:00,26.31,12699,12714
LINK-USD,1h,OCOI,2024-11-26 00:00:00,2024-11-27 13:00:00,37,60,2024-11-26 11:00:00,16.54,12436,12473
